"","x_pred","x","d","w","ele_arcpro","dist_diff","slope_mid","slope_up","catchment_ha","site"
"296",22.98853829,29,15,53,4098.472656,10,0.001851516,0.009961626,81.7542,"GaviDown"
"297",23.56722671,NA,NA,NA,4098.473145,NA,NA,NA,81.7542,"GaviDown"
"298",35.95660425,39,34,63,4098.432129,10,0.011945465,0.001851516,81.8091,"GaviDown"
"299",46.90087713,49,37,99,4098.187012,10,0.043286903,0.011945465,81.8199,"GaviDown"
"300",50.184159,52,58,83,4098.077637,NA,NA,NA,81.8316,"GaviDown"
"301",54.17863957,56,24,56,4097.716309,NA,NA,NA,81.8397,"GaviDown"
"302",57.1745,59,23,72,4097.513672,10,0.0737405,0.043286903,81.8424,"GaviDown"
"303",68.22910237,69,NA,56,4096.614258,10,0.079285857,0.0737405,81.8928,"GaviDown"
"304",73.02212874,NA,NA,NA,4096.358398,NA,NA,NA,81.837,"GaviDown"
"305",79.03715067,79,14,75,4095.780273,10,0.114124962,0.079285857,82.1763,"GaviDown"
"306",86.96456534,89,7,48,4094.476074,10,0.168659575,0.114124962,82.2186,"GaviDown"
"307",87.43295192,89.5,NA,NA,4094.476074,NA,NA,NA,82.2186,"GaviDown"
"308",96.33229683,99,6,62,4092.863281,10,0.149901496,0.168659575,82.323,"GaviDown"
"309",98.20584313,101,6,50,4092.863281,NA,NA,NA,82.323,"GaviDown"
"310",106.6063706,109,9,59,4091.531738,10,0.18968242,0.149901496,82.3959,"GaviDown"
"311",107.6564365,110,18,42,4090.695801,10,0.18968242,0.186924908,82.4418,"GaviDown"
"312",109.2436607,111,NA,NA,4090.695801,NA,NA,NA,82.4418,"GaviDown"
"313",110.5724305,114,NA,NA,4090.125732,NA,NA,NA,82.449,"GaviDown"
